SGPNOS01,10.187.71.249,18 weeks_3 days_20 hours_37 minutes,
SGPNOS02,10.187.71.248,17 weeks_6 days_18 hours_31 minutes,
SGPNOS03,10.187.71.254,18 weeks_3 days_20 hours_48 minutes,
SGPNOS04,10.187.71.253,17 weeks_6 days_17 hours_55 minutes,
SGPNOS06,10.187.71.242,17 weeks_6 days_23 hours_44 minutes,
SGPNOS07,10.187.71.244,11 weeks_4 days_19 hours_42 minutes,
SGPNOS08,10.187.71.243,16 weeks_3 days_23 hours_30 minutes,
